"Postcode","Division","District","Thana","SubOffice","PostCode"
"1345","Dhaka","Dhaka","Savar","Shimulia","1345"
"1100","Dhaka","Dhaka","Sutrapur","Dhaka Sadar HO","1100"
"1204","Dhaka","Dhaka","Sutrapur","Gandaria TSO","1204"
"1203","Dhaka","Dhaka","Sutrapur","Wari TSO","1203"
"1215","Dhaka","Dhaka","Tejgaon","Tejgaon TSO","1215"
"1208","Dhaka","Dhaka","Tejgaon Industrial Area","Dhaka Politechnic","1208"
"1230","Dhaka","ঢাকা","উত্তরা","উত্তরা মডেল টাউন TSO","1230"
"7870","Rajshahi","Faridpur","Alfadanga","Alfadanga","7870"
"7830","Rajshahi","Faridpur","Bhanga","Bhanga","7830"
"7860","Rajshahi","Faridpur","Boalmari","Boalmari","7860"
"7861","Rajshahi","Faridpur","Boalmari","Rupatpat","7861"
"7810","Rajshahi","Faridpur","Charbhadrasan","Charbadrashan","7810"
"7802","Rajshahi","Faridpur","Faridpur Sadar","Ambikapur","7802"
"7803","Rajshahi","Faridpur","Faridpur Sadar","Baitulaman Politecni","7803"
"7800","Rajshahi","Faridpur","Faridpur Sadar","Faridpursadar","7800"
"7801","Rajshahi","Faridpur","Faridpur Sadar","Kanaipur","7801"
"7851","Rajshahi","Faridpur","Madukhali","Kamarkali","7851"
"7850","Rajshahi","Faridpur","Madukhali","Madukhali","7850"
"7840","Rajshahi","Faridpur","Nagarkanda","Nagarkanda","7840"
"7841","Rajshahi","Faridpur","Nagarkanda","Talma","7841"
"7822","Rajshahi","Faridpur","Sadarpur","Bishwa jaker Manjil","7822"
"7821","Rajshahi","Faridpur","Sadarpur","Hat Krishapur","7821"
"7820","Rajshahi","Faridpur","Sadarpur","Sadarpur","7820"
"7804","Rajshahi","ফরিদপুর","শ্রী-অঙ্গন","শ্রী-অঙ্গন","7804"
"1703","Dhaka","Gazipur","Gazipur Sadar","B.O.F","1703"
"1701","Dhaka","Gazipur","Gazipur Sadar","B.R.R","1701"
"1702","Dhaka","Gazipur","Gazipur Sadar","Chandna","1702"
"1700","Dhaka","Gazipur","Gazipur Sadar","Gazipur Sadar","1700"
"1704","Dhaka","Gazipur","Gazipur Sadar","National University","1704"
"1750","Dhaka","Gazipur","Kaliakaar","Kaliakaar","1750"
"1751","Dhaka","Gazipur","Kaliakaar","Safipur","1751"
"1720","Dhaka","Gazipur","Kaliganj","Kaliganj","1720"
"1721","Dhaka","Gazipur","Kaliganj","Pubail","1721"
"1722","Dhaka","Gazipur","Kaliganj","Santanpara","1722"
"1723","Dhaka","Gazipur","Kaliganj","Vaoal Jamalpur","1723"
"1730","Dhaka","Gazipur","Kapashia","kapashia","1730"
"1712","Dhaka","Gazipur","Monnunagar","Ershad Nagar","1712"
"1710","Dhaka","Gazipur","Monnunagar","Monnunagar","1710"
"1711","Dhaka","Gazipur","Turag","Nishat Nagar","1711"
"1743","Dhaka","Gazipur","Sreepur","Barmi","1743"
"1747","Dhaka","Gazipur","Sreepur","Bashamur","1747"
"1748","Dhaka","Gazipur","Sreepur","Boubi","1748"
"1745","Dhaka","Gazipur","Sreepur","Kawraid","1745"
"1744","Dhaka","Gazipur","Sreepur","Satkhamair","1744"
"1740","Dhaka","Gazipur","Sripur","Tengra","1740"
"1741","Dhaka","Gazipur","Sripur","Rajendrapur","1741"
"1742","Dhaka","গাজীপুর","শ্রীপুর","রাজেন্দ্রপুর সেনানিবাস","1742"
"8102","Barisal","Gopalganj","Gopalganj Sadar","Barfa","8102"
"8013","Barisal","Gopalganj","Gopalganj Sadar","Chandradighalia","8013"
"8100","Barisal","Gopalganj","Gopalganj Sadar","Gopalganj Sadar","8100"
"8101","Barisal","Gopalganj","Gopalganj Sadar","Ulpur","8101"
"8133","Barisal","Gopalganj","Kashiani","Jonapur","8133"
"8130","Barisal","Gopalganj","Kashiani","Kashiani","8130"
"8131","Barisal","Gopalganj","Kashiani","Ramdia College","8131"
"8132","Barisal","Gopalganj","Kashiani","Ratoil","8132"
"8110","Barisal","Gopalganj","Kotalipara","Kotalipara","8110"
"8141","Barisal","Gopalganj","Maksudpur","Batkiamari","8141"
"8142","Barisal","Gopalganj","Maksudpur","Khandarpara","8142"
"8140","Barisal","Gopalganj","Muksudpur","Muksudpur","8140"
"8121","Barisal","Gopalganj","Tungipara","Patgati","8121"
"8120","Barisal","গোপালগঞ্জ","টুঙ্গিপাড়া","টুঙ্গিপাড়া","8120"
"2336","Mymensingh","Kishoreganj","Bajitpur","Bajitpur","2336"
"2338","Mymensingh","Kishoreganj","Kuliarchar","Laksmipur","2338"
"2337","Mymensingh","Kishoreganj","Bajitpur","Sararchar","2337"
"2350","Mymensingh","Kishoreganj","Bhairob","Bhairab","2350"
"2320","Mymensingh","Kishoreganj","Hossenpur","Hossenpur","2320"
"2390","Mymensingh","Kishoreganj","Itna","Itna","2390"
"2310","Mymensingh","Kishoreganj","Karimganj","Karimganj","2310"
"2331","Mymensingh","Kishoreganj","Katiadi","Gochhihata","2331"
"2330","Mymensingh","Kishoreganj","Katiadi","Katiadi","2330"
"2301","Mymensingh","Kishoreganj","Kishoreganj Sadar","Kishoreganj S.Mills","2301"
"2300","Mymensingh","Kishoreganj","Kishoreganj Sadar","Kishoreganj Sadar","2300"
"2302","Mymensingh","Kishoreganj","Kishoreganj Sadar","Maizhati","2302"
"2303","Mymensingh","Kishoreganj","Kishoreganj Sadar","Nilganj","2303"
"2341","Mymensingh","Kishoreganj","Kuliarchar","Chhoysuti","2341"
"2340","Mymensingh","Kishoreganj","Kuliarchar","Kuliarchar","2340"
"2371","Mymensingh","Kishoreganj","Mithamoin","Abdullahpur","2371"
"2370","Mymensingh","Kishoreganj","Mithamoin","MIthamoin","2370"
"2360","Mymensingh","Kishoreganj","Nikli","Nikli","2360"
"2380","Mymensingh","Kishoreganj","Ostagram","Ostagram","2380"
"2326","Mymensingh","Kishoreganj","Pakundia","Pakundia","2326"
"2316","Mymensingh","কিশোরগঞ্জ","তারিয়াল","তারিয়াল","2316"
"7932","Rajshahi","Madaripur","Barhamganj","Bahadurpur","7932"
"7930","Rajshahi","Madaripur","Barhamganj","Barhamganj","7930"
"7931","Rajshahi","Madaripur","Barhamganj","Nilaksmibandar","7931"
"7933","Rajshahi","Madaripur","Barhamganj","Umedpur","7933"
"7920","Rajshahi","Madaripur","kalkini","Kalkini","7920"
"7921","Rajshahi","Madaripur","kalkini","Sahabrampur","7921"
"7901","Rajshahi","Madaripur","Madaripur Sadar","Charmugria","7901"
"7903","Rajshahi","Madaripur","Madaripur Sadar","Habiganj","7903"
"7902","Rajshahi","Madaripur","Madaripur Sadar","Kulpaddi","7902"
"7900","Rajshahi","Madaripur","Madaripur Sadar","Madaripur Sadar","7900"
"7904","Rajshahi","Madaripur","Madaripur Sadar","Mustafapur","7904"
"7911","Rajshahi","Madaripur","Rajoir","Khalia","7911"
"7910","Rajshahi","মাদারীপুর","রাজৈর","রাজৈর","7910"
"1860","Dhaka","Manikganj","Doulatpur","Doulatpur","1860"
"1840","Dhaka","Manikganj","Ghior","Ghior","1840"
"1831","Dhaka","Manikganj","Lechhraganj","Jhitka","1831"
"1830","Dhaka","Manikganj","Lechhraganj","Lechhraganj","1830"
"1804","Dhaka","Manikganj","Manikganj Sadar","Barangail","1804"
"1802","Dhaka","Manikganj","Manikganj Sadar","Gorpara","1802"
"1803","Dhaka","Manikganj","Manikganj Sadar","Mahadebpur","1803"
"1801","Dhaka","Manikganj","Manikganj Sadar","Manikganj Bazar","1801"
"1800","Dhaka","Manikganj","Manikganj Sadar","Manikganj Sadar","1800"
"1811","Dhaka","Manikganj","Saturia","Baliati","1811"
"1810","Dhaka","Manikganj","Saturia","Saturia","1810"
"1851","Dhaka","Manikganj","Shibloya","Aricha","1851"
"1850","Dhaka","Manikganj","Shibloya","Shibaloy","1850"
"1852","Dhaka","Manikganj","Shibloya","Tewta","1852"
"1853","Dhaka","Manikganj","Shibloya","Uthli","1853"
"1821","Dhaka","Manikganj","Singari","Baira","1821"
"1822","Dhaka","Manikganj","Singari","joymantop","1822"
"1820","Dhaka","মানিকগঞ্জ","সিংগাইর","সিংগাইর","1820"
"1510","Dhaka","Munshiganj","Gajaria","Gajaria","1510"
"1511","Dhaka","Munshiganj","Gajaria","Hossendi","1511"
"1512","Dhaka","Munshiganj","Lohajong","Gouragonj","1512"
"1334","Dhaka","Munshiganj","Lohajong","Gouragonj","1334"
"1534","Dhaka","Munshiganj","Lohajong","Gouragonj","1534"
"1532","Dhaka","Munshiganj","Lohajong","Haldia SO","1532"
"1333","Dhaka","Munshiganj","Lohajong","Haridia","1333"
"1533","Dhaka","Munshiganj","Lohajong","Haridia DESO","1533"
"1531","Dhaka","Munshiganj","Lohajong","Korhati","1531"
"1530","Dhaka","Munshiganj","Lohajong","Lohajang","1530"
"1335","Dhaka","Munshiganj","Lohajong","Madini Mandal","1335"
"1535","Dhaka","Munshiganj","Lohajong","Medini Mandal EDSO","1535"
"1503","Dhaka","Munshiganj","Munshiganj Sadar","Kathakhali","1503"
"1502","Dhaka","Munshiganj","Munshiganj Sadar","Mirkadim","1502"
"1500","Dhaka","Munshiganj","Munshiganj Sadar","Munshiganj Sadar","1500"
"1501","Dhaka","Munshiganj","Munshiganj Sadar","Rikabibazar","1501"
"1542","Dhaka","Munshiganj","Sirajdikhan","Ichapur","1542"
"1541","Dhaka","Munshiganj","Sirajdikhan","Kola","1541"
"1543","Dhaka","Munshiganj","Sirajdikhan","Malkha Nagar","1543"
"1544","Dhaka","Munshiganj","Sirajdikhan","Shekher Nagar","1544"
"1540","Dhaka","Munshiganj","Sirajdikhan","Sirajdikhan","1540"
"1557","Dhaka","Munshiganj","Sreenagar","Baghra","1557"
"1551","Dhaka","Munshiganj","Sreenagar","Rarikhal","1551"
"1558","Dhaka","Munshiganj","Sreenagar","Bhaggyakul","1558"
"1553","Dhaka","Munshiganj","Sreenagar","Hashara","1553"
"1554","Dhaka","Munshiganj","Sreenagar","Kolapara","1554"
"1555","Dhaka","Munshiganj","Sreenagar","Kumarbhog","1555"
"1552","Dhaka","Munshiganj","Sreenagar","Maijpara","1552"
"1550","Dhaka","Munshiganj","Sreenagar","Sreenagar","1550"
"1556","Dhaka","Munshiganj","Sreenagar","Vaggyakul SO","1556"
"1523","Dhaka","Munshiganj","Tangibari","Bajrajugini","1523"
"1522","Dhaka","Munshiganj","Tangibari","Baligao","1522"
"1521","Dhaka","Munshiganj","Tangibari","Betkahat","1521"
"1525","Dhaka","Munshiganj","Tangibari","Dighirpar","1525"
"1524","Dhaka","Munshiganj","Tangibari","Hasail","1524"
"1527","Dhaka","Munshiganj","Tangibari","Pura","1527"
"1526","Dhaka","Munshiganj","Tangibari","Pura EDSO","1526"
"1520","Dhaka","মুন্সিগঞ্জ","টাংগিবাড়ি","টাংগিবাড়ি","1520"
"1450","Dhaka","Narayanganj","Araihazar","Araihazar","1450"
"1460","Dhaka","Narayanganj","Rupganj","Rupganj","1460"
"1451","Dhaka","Narayanganj","Baidder Bazar","Baidder Bazar","1451"
"1440","Dhaka","Narayanganj","Baidder Bazar","Baidder Bazar","1440"
"1441","Dhaka","Narayanganj","Baidder Bazar","Bara Nagar","1441"
"1442","Dhaka","Narayanganj","Baidder Bazar","Barodi","1442"
"1410","Dhaka","Narayanganj","Bandar","Bandar","1410"
"1413","Dhaka","Narayanganj","Bandar","BIDS","1413"
"1411","Dhaka","Narayanganj","Bandar","D.C Mills","1411"
"1414","Dhaka","Narayanganj","Bandar","Madanganj","1414"
"1412","Dhaka","Narayanganj","Bandar","Nabiganj","1412"
"1421","Dhaka","Narayanganj","Fatullah","Fatulla Bazar","1421"
"1420","Dhaka","Narayanganj","Fatullah","Fatullah","1420"
"1400","Dhaka","Narayanganj","Narayanganj Sadar","Narayanganj Sadar","1400"
"1462","Dhaka","Narayanganj","Rupganj","Bhulta","1462"
"1461","Dhaka","Narayanganj","Rupganj","Kanchan","1461"
"1464","Dhaka","Narayanganj","Rupganj","Murapara","1464"
"1463","Dhaka","Narayanganj","Rupganj","Nagri","1463"
"1431","Dhaka","Narayanganj","Siddirganj","Adamjeenagar","1431"
"1432","Dhaka","Narayanganj","Siddirganj","LN Mills","1432"
"1430","Dhaka","নারায়ণগঞ্জ","সিদ্ধিরগঞ্জ","সিদ্ধিরগঞ্জ","1430"
"1640","Dhaka","Narsingdi","Belabo","Belabo","1640"
"1651","Dhaka","Narsingdi","Monohordi","Hatirdia","1651"
"1652","Dhaka","Narsingdi","Monohordi","Katabaria","1652"
"1650","Dhaka","Narsingdi","Monohordi","Monohordi","1650"
"1605","Dhaka","Narsingdi","Narsingdi Sadar","Karimpur","1605"
"1604","Dhaka","Narsingdi","Madhabdi","Madhabdi","1604"
"1602","Dhaka","Narsingdi","Narsingdi Sadar","Narsingdi College","1602"
"1600","Dhaka","Narsingdi","Narsingdi Sadar","Narsingdi Sadar","1600"
"1603","Dhaka","Narsingdi","Narsingdi Sadar","Panchdona","1603"
"1601","Dhaka","Narsingdi","Narsingdi Sadar","UMC Jute Mills","1601"
"1612","Dhaka","Narsingdi","Palash","Char Sindhur","1612"
"1613","Dhaka","Narsingdi","Palash","Ghorashal","1613"
"1611","Dhaka","Narsingdi","Palash","Sarkarkhana","1611"
"1610","Dhaka","Narsingdi","Palash","Palash","1610"
"1631","Dhaka","Narsingdi","Raypura","Bazar Hasnabad","1631"
"1632","Dhaka","Narsingdi","Raypura","Radhaganj bazar","1632"
"1630","Dhaka","Narsingdi","Raypura","Raypura","1630"
"1620","Dhaka","নরসিংদী","শিবপুর","শিবপুর","1620"
"7730","Rajshahi","Rajbari","Baliakandi","Baliakandi","7730"
"7731","Rajshahi","Rajbari","Baliakandi","Nalia","7731"
"7723","Rajshahi","Rajbari","Pangsha","Mrigibazar","7723"
"7720","Rajshahi","Rajbari","Pangsha","Pangsha","7720"
"7721","Rajshahi","Rajbari","Pangsha","Ramkol","7721"
"7722","Rajshahi","Rajbari","Pangsha","Ratandia","7722"
"7710","Rajshahi","Rajbari","Rajbari Sadar","Goalanda","7710"
"7711","Rajshahi","Rajbari","Rajbari Sadar","Khankhanapur","7711"
"7700","Rajshahi","রাজবাড়ী","রাজবাড়ী সদর","রাজবাড়ী সদর","7700"
"8030","Barisal","Shariatpur","Bhedorganj","Bhedorganj","8030"
"8040","Barisal","Shariatpur","Damudhya","Damudhya","8040"
"8050","Barisal","Shariatpur","Gosairhat","Gosairhat","8050"
"8010","Barisal","Shariatpur","Jajira","Jajira","8010"
"8021","Barisal","Shariatpur","Naria","Bhozeshwar","8021"
"8022","Barisal","Shariatpur","Naria","Gharisar","8022"
"8024","Barisal","Shariatpur","Naria","Kartikpur","8024"
"8020","Barisal","Shariatpur","Naria","Naria","8020"
"8023","Barisal","Shariatpur","Naria","Upshi","8023"
"8001","Barisal","Shariatpur","Shariatpur Sadar","Angaria","8001"
"8002","Barisal","Shariatpur","Shariatpur Sadar","Chikandi","8002"
"8000","Barisal","শরীয়তপুর","শরীয়তপুর সদর","শরীয়তপুর সদর","8000"
"1920","Dhaka","Tangail","Basail","Basail","1920"
"1960","Dhaka","Tangail","Bhuapur","Bhuapur","1960"
"1910","Dhaka","Tangail","Delduar","Delduar","1910"
"1913","Dhaka","Tangail","Delduar","Elasin","1913"
"1914","Dhaka","Tangail","Delduar","Hinga Nagar","1914"
"1911","Dhaka","Tangail","Delduar","Jangalia","1911"
"1915","Dhaka","Tangail","Delduar","Lowhati","1915"
"1912","Dhaka","Tangail","Delduar","Patharail","1912"
"1982","Dhaka","Tangail","Ghatail","D. Pakutia","1982"
"1983","Dhaka","Tangail","Ghatail","Dhalapara","1983"
"1980","Dhaka","Tangail","Ghatail","Ghatial","1980"
"1984","Dhaka","Tangail","Ghatail","Lohani","1984"
"1981","Dhaka","Tangail","Ghatail","Zahidganj","1981"
"1990","Dhaka","Tangail","Gopalpur","Gopalpur","1990"
"1992","Dhaka","Tangail","Gopalpur","Hemnagar","1992"
"1991","Dhaka","Tangail","Gopalpur","Chatutia","1991"
"1973","Dhaka","Tangail","Kalihati","Ballabazar","1973"
"1974","Dhaka","Tangail","Kalihati","Elinga","1974"
"1970","Dhaka","Tangail","Kalihati","Kalihati","1970"
"1977","Dhaka","Tangail","Kalihati","Nagarbari","1977"
"1976","Dhaka","Tangail","Kalihati","Nagarbari SO","1976"
"1972","Dhaka","Tangail","Kalihati","Nagbari","1972"
"1975","Dhaka","Tangail","Kalihati","Palisha","1975"
"1971","Dhaka","Tangail","Kalihati","Rajafair","1971"
"1930","Dhaka","Tangail","Kashkaolia","Kashkawlia","1930"
"1997","Dhaka","Tangail","Madhupur","Dhonbari","1997"
"1996","Dhaka","Tangail","Madhupur","Madhupur","1996"
"1941","Dhaka","Tangail","Mirzapur","Gorai","1941"
"1944","Dhaka","Tangail","Mirzapur","Jarmuki","1944"
"1942","Dhaka","Tangail","Mirzapur","M.C. College","1942"
"1940","Dhaka","Tangail","Mirzapur","Mirzapur","1940"
"1945","Dhaka","Tangail","Mirzapur","Mohera","1945"
"1943","Dhaka","Tangail","Mirzapur","Warri paikpara","1943"
"1937","Dhaka","Tangail","Nagarpur","Dhuburia","1937"
"1936","Dhaka","Tangail","Nagarpur","Nagarpur","1936"
"1938","Dhaka","Tangail","Nagarpur","Salimabad","1938"
"1951","Dhaka","Tangail","Sakhipur","Kochua","1951"
"1950","Dhaka","Tangail","Sakhipur","Sakhipur","1950"
"1901","Dhaka","Tangail","Tangail Sadar","Kagmari","1901"
"1903","Dhaka","Tangail","Tangail Sadar","Korotia","1903"
"1904","Dhaka","Tangail","Tangail Sadar","Purabari","1904"
"1902","Dhaka","Tangail","Tangail Sadar","Santosh","1902"
"1900","Dhaka","Tangail","Tangail Sadar","Tangail Sadar","1900"
"2140","Mymensingh","Sherpur","Bakshigonj","Bakshigonj","2140"
"2030","Mymensingh","Jamalpur","Dewangonj","Dewangonj S. Mills","2030"
"2032","Mymensingh","Jamalpur","Dewangonj","Dewangonj S. Mills","2032"
"2021","Mymensingh","Jamalpur","Islampur","Durmoot","2021"
"2022","Mymensingh","Jamalpur","Islampur","Gilabari","2022"
"2020","Mymensingh","Jamalpur","Islampur","Islampur","2020"
"2000","Mymensingh","Jamalpur","Jamalpur","Jamalpur","2000"
"2001","Mymensingh","Jamalpur","Jamalpur","Nandina","2001"
"2002","Mymensingh","Jamalpur","Jamalpur","Narundi","2002"
"2011","Mymensingh","Jamalpur","Melandah","Jalalpur","2011"
"2013","Mymensingh","Jamalpur","Melandah","Mahmudpur","2013"
"2012","Mymensingh","Jamalpur","Melandah","Malancha","2012"
"2010","Mymensingh","Jamalpur","Melandah","Melandah","2010"
"2041","Mymensingh","Jamalpur","Madarganj","Balijhuri","2041"
"2040","Mymensingh","Jamalpur","Madarganj","Madarganj","2040"
"2052","Mymensingh","Jamalpur","Sharishabari","Bausee","2052"
"2051","Mymensingh","Jamalpur","Madarganj","Adarvita","2051"
"2053","Mymensingh","Jamalpur","Sharishabari","Jagannath Ghat","2053"
"2055","Mymensingh","Jamalpur","Sharishabari","Jamuna Sar Karkhana","2055"
"2054","Mymensingh","Jamalpur","Sharishabari","Pingna","2054"
"2050","Mymensingh","Jamalpur","Sharishabari","Sharishabari","2050"
"2240","Mymensingh","Mymensingh","Bhaluka","Bhaluka","2240"
"2216","Mymensingh","Mymensingh","Fulbaria","Fulbaria","2216"
"2234","Mymensingh","Mymensingh","Gaforgaon","Dobasia","2234"
"2230","Mymensingh","Mymensingh","Gaforgaon","Gaforgaon","2230"
"2233","Mymensingh","Mymensingh","Gaforgaon","Kandipara","2233"
"2231","Mymensingh","Mymensingh","Gaforgaon","Shibganj","2231"
"2232","Mymensingh","Mymensingh","Gaforgaon","Usti","2232"
"2270","Mymensingh","Mymensingh","Gouripur","Gouripur","2270"
"2271","Mymensingh","Mymensingh","Gouripur","Ramgopalpur","2271"
"2261","Mymensingh","Mymensingh","Haluaghat","Dhara","2261"
"2260","Mymensingh","Mymensingh","Haluaghat","Haluaghat","2260"
"2262","Mymensingh","Mymensingh","Haluaghat","Munshirhat","2262"
"2282","Mymensingh","Mymensingh","Isshwargonj","Atharabari","2282"
"2280","Mymensingh","Mymensingh","Isshwargonj","Isshwargonj","2280"
"2281","Mymensingh","Mymensingh","Isshwargonj","Sohagi","2281"
"2210","Mymensingh","Mymensingh","Muktagachha","Muktagachha","2210"
"2202","Mymensingh","Mymensingh","Mymensingh Sadar","Agriculture Universi","2202"
"2204","Mymensingh","Mymensingh","Mymensingh Sadar","Biddyaganj","2204"
"2201","Mymensingh","Mymensingh","Mymensingh Sadar","Kawatkhali","2201"
"2200","Mymensingh","Mymensingh","Mymensingh Sadar","Mymensingh Sadar","2200"
"2205","Mymensingh","Mymensingh","Mymensingh Sadar","Pearpur","2205"
"2203","Mymensingh","Mymensingh","Mymensingh Sadar","Shombhuganj","2203"
"2291","Mymensingh","Mymensingh","Nandail","Gangail","2291"
"2290","Mymensingh","Mymensingh","Nandail","Nandail","2290"
"2251","Mymensingh","Mymensingh","Phulpur","Beltia","2251"
"2250","Mymensingh","Mymensingh","Phulpur","Phulpur","2250"
"2252","Mymensingh","Mymensingh","Phulpur","Tarakanda","2252"
"2221","Mymensingh","Mymensingh","Trishal","Ahmadbad","2221"
"2223","Mymensingh","Mymensingh","Trishal","Dhala","2223"
"2222","Mymensingh","Mymensingh","Trishal","Ram Amritaganj","2222"
"2220","Mymensingh","Mymensingh","Trishal","Trishal","2220"
"2420","Mymensingh","Netrakona","Susung Durgapur","Susnng Durgapur","2420"
"2470","Mymensingh","Netrakona","Atpara","Atpara","2470"
"2440","Mymensingh","Netrakona","Barhatta","Barhatta","2440"
"2450","Mymensingh","Netrakona","Dharmapasha","Dharampasha","2450"
"2416","Mymensingh","Netrakona","Dhobaura","Dhobaura","2416"
"2417","Mymensingh","Netrakona","Dhobaura","Sakoai","2417"
"2430","Mymensingh","Netrakona","Kalmakanda","Kalmakanda","2430"
"2480","Mymensingh","Netrakona","Kendua","Kendua","2480"
"2460","Mymensingh","Netrakona","Khaliajuri","Khaliajhri","2460"
"2462","Mymensingh","Netrakona","Khaliajuri","Shaldigha","2462"
"2490","Mymensingh","Netrakona","Madan","Madan","2490"
"2456","Mymensingh","Netrakona","Moddhynagar","Moddoynagar","2456"
"2446","Mymensingh","Netrakona","Mohanganj","Mohanganj","2446"
"2401","Mymensingh","Netrakona","Netrakona Sadar","Baikherhati","2401"
"2400","Mymensingh","Netrakona","Netrakona Sadar","Netrakona Sadar","2400"
"2412","Mymensingh","Netrakona","Purbadhola","Jaria Jhanjhail","2412"
"2410","Mymensingh","Netrakona","Purbadhola","Purbadhola","2410"
"2411","Mymensingh","নেত্রকোনা","পুর্বধোলা","শামগঞ্জ","2411"
"2120","Mymensingh","Sherpur","Jhinaigati","Jhinaigati","2120"
"2151","Mymensingh","Sherpur","Nakla","Gonopaddi","2151"
"2150","Mymensingh","Sherpur","Nakla","Nakla","2150"
"2111","Mymensingh","Sherpur","Nalitabari","Hatibandha","2111"
"2110","Mymensingh","Sherpur","Nalitabari","Nalitabari","2110"
"2100","Mymensingh","Sherpur","Sherpur Shadar","Sherpur Shadar","2100"
"2130","Mymensingh","Sherpur","Shribardi","Shribardi","2130"
"3360","Sylhet","Habiganj","Azmireeganj","Azmireeganj","3360"
"3310","Sylhet","Habiganj","Bahubal","Bahubal","3310"
"3350","Sylhet","Habiganj","Baniachang","Baniachang","3350"
"3351","Sylhet","Habiganj","Baniachang","Jatrapasha","3351"
"3352","Sylhet","Habiganj","Baniachang","Kadirganj","3352"
"3321","Sylhet","Habiganj","Chunarughat","Chandpurbagan","3321"
"3320","Sylhet","Habiganj","Chunarughat","Chunarughat","3320"
"3322","Sylhet","Habiganj","Chunarughat","Narapati","3322"
"3302","Sylhet","Habiganj","Habiganj Sadar","Gopaya","3302"
"3300","Sylhet","Habiganj","Habiganj Sadar","Habiganj Sadar","3300"
"3301","Sylhet","Habiganj","Habiganj Sadar","Shaestaganj","3301"
"3340","Sylhet","Habiganj","Kalauk","Kalauk","3340"
"3341","Sylhet","Habiganj","Kalauk","Lakhai","3341"
"3331","Sylhet","Habiganj","Madhabpur","Itakhola","3331"
"3330","Sylhet","Habiganj","Madhabpur","Madhabpur","3330"
"3333","Sylhet","Habiganj","Madhabpur","Saihamnagar","3333"
"3332","Sylhet","Habiganj","Madhabpur","Shahajibazar","3332"
"3373","Sylhet","Habiganj","Nabiganj","Digalbak","3373"
"3372","Sylhet","Habiganj","Nabiganj","Golduba","3372"
"3371","Sylhet","Habiganj","Nabiganj","Goplarbazar","3371"
"3374","Sylhet","Habiganj","Nabiganj","Inathganj","3374"
"3370","Sylhet","Habiganj","Nabiganj","Nabiganj","3370"
"3250","Sylhet","Moulvibazar","Baralekha","Baralekha","3250"
"3252","Sylhet","Moulvibazar","Baralekha","Dhakkhinbag","3252"
"3251","Sylhet","Moulvibazar","Baralekha","Juri","3251"
"3253","Sylhet","Moulvibazar","Baralekha","Purbashahabajpur","3253"
